Question,Answer,Label
"vâng ạ , em cảm ơn ad",Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng em cảm ơn ad ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
"vâng ,em cảm ơn ạ",Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
à vâng em cảm ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng em cảm ơn ạ !,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng ạ em cảm ơn thầy ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng em cảm on,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
em cảm ơn bạn tư vấn nhiều nhé ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
cảm ơn ad đã tư vấn nhiệt tình ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
cảm ơn ad đã tư vấn cho e ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
thank ad,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
e cam ơn ad,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
c ơn ad ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
oke ạthank ad rất nhiều,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng e c ơn ad ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ e cảm ơn,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ e cảm ơn ạh,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
chúc ad một buổi chiều đầy sức khoẻ 3,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ e cảm ơn cô,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ cảm ơn ad ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ thôie hiểu rồi ạe cảm ơn,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạem cảm ơn ạ!,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
"dạ , em cảm ơn ạ",Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ cho e cảm ơn,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ em cảm ơn ad ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ em cảm ơn cô,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ e c ơn,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
"dạ em hiểu rồi , em cảm ơn ạ!",Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ em cảm ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
"dạ , em cảm ơn ạ!",Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vânge cảm ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng e cảm ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng ạ e cảm ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng d cảm ơn,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vânge cảm ơn ạk,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng e cảm ơn ad nhiều ak,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng e cảm ơn e trượt,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
"vâng ạ , e cảm ơn ạ",Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng cảm ơn ad,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vângxin cảm ơn,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vânge cảm ơn ad ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
"vâng , e cảm ơn ạ",Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng vậy e cảm ơn ad a,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng ạ e cảm ơn nhé hi,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng ạ e cảm ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng e cảm ơn ạ ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng ạ cảm ơn pge,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng cảm ơn chị,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng m cảm ơn,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng hihi e cảm ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng ạ em cảm ơn,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng ạ e cảm ơn,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng ạ em cảm ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng e cảm ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng em cảm ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng em cảm ơn ad,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng ạ e hiểu rùi ạ em cảm on,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng em cảm ơn ad ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng em cảm ơn ad!,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
"dạ vâng ạ , e cảm ơn ad nhé",Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vângem cảm ơn ạ ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng ạem cảm ơn ad,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng cảm ơn [trường] ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng ạ em cảm ơn [nhà trường] ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng e cảm ơn ad,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
"dạ vâng ạ , em cảm ơn ad nhé",Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
"dạ vâng , em cảm ơn ạ",Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng e cảm ơn nhiều ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
"dạ vâng em cảm ơn ad ạ ,em sẽ suy nghĩ thêm ạ",Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng em cảm ơn ad nha,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng e cảm ơn ạ ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng ạem cảm ơn ạ ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng cảm ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vângem cảm ơn ạ!,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
"dạ vâng , e cảm ơn [nhà trường]",Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
em cảm ơn khi nào có thắc mắc em liên hệ lại,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
em c ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
em xin cảm ơn ạ!,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
em chân thành cảm ơn ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
e cảm ơn nhaa,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
e cảm ơn add ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
em cảm ơn ad nhiều !,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vậng e cảm ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vânh e cảm ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
cảm ơn cháu nhiều,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
cảm ơn bạn nhé,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
ok cảm e cảm ơn ah,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
à ra vậy em cảm ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
em cảm ơn ad nhiều ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
e xin cảm ơn,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
"em hiểu rồi ạ , em cảm ơn",Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
mh cảm ơn,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
e xin cảm ơn!,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
em cảm ơn thày cô ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
à em biết rồi em cảm ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
em xin cảm ơn!,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
em xin chào [trường đại học sư phạm kỹ thuật hưng yên] a,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
hello ad,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
hi ad,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
hí,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
hú hí,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
halo,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
hola,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
dacho e hoi it dc k ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
chị ơi cho e hỏi,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
add ơi cho e hỏi ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
add cho e hỏi ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
dạ page ơi cho e hỏi,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
dạ cho em hỏi ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
cô ơi,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
admin ơi,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
em muốn đc [nhà trường] tư vấn thêm,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
em muốn được tư vấn ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
tư vấn cho e đc k ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
e muốn [trường] tư vấn cho e 1 vài vấn đề được không ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
admin tư vấn giúp em với,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
e cần tư vấn tuyển sinh a,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
em muốn nhờ ad tư vấn ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
mong thầy cô tư vấn cho e ạ e cảm ơn,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
[trường] có tiện tư vấn cho em không ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
e cần tư vấn ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
dạ ac có thể tư vấn cho e với ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
add có thể tư vấn cho e được ko ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
ad có thể tư vấn giúp mình không ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
[trường] có thể tư vấn giúp e về tuyển sinh được k ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
chào ad ad có thể tư vấn cho e 1 chút được không ạ?,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
bạn tư vấn hệ đó giúp mình với ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
ac có thể tư vấn cho e chút dk a,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
[trường] tư vấn thêm cho em về tuyển sinh với ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
[nhà trường] có thể tư vấn giúp em,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
em muốn đc tư vấn ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
e muốn nhờ [trường] tư vấn được k ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
e chào thầy / cô e cần được tư vấn ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
e muốn đc tư vấn về trường,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
chào ạ em muốn tư vấn tuyển sinh ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
thầy ơi,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
thầy cô ơi,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
anh ơi,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
mà anh ơi,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
[trường] ơi,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
[trường] ới,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
e là học sinh lớp 12 và e có 1 số thắc mắc về trườngad có thể giải đáp e k ạ?,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
mong thầy cô tu vấn cho em sớm ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
mong thầy cô giải đáp giúp em ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
[nhà trường] cho hỏi,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
[nhà trường] cho em hỏi,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
[nhà trường] ơi,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
[nhà trường] cho e hỏi tí ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
[nhà trường] cho em hỏi ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
cho e hỏi mấy vấn đề với ad ơi?,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
[trường] cho e hỏi ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
anh chị có thể bớt chút thời gian giúp em đc k ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
cho em hỏi ạ!!!,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
cho e hỏi ạ ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
thắc mặc 1 chút về nhập học được không ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
cho em hỏi mới,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
ad giúp em giải đáp thắc mắc với em cảm ơn,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
xin giải đáp ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
mong ad giúp đỡ mk ak!,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
mong ad có thể bớt chút thời gian giải thắc mắc này giúp emem cảm ơn ad ạ,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
mong [trường] giải đáp,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
mong ad giúp em với,"Chào bạn, trường đại học sư phạm kỹ thuật hưng yên có thể giúp gì cho bạn?",greet
